decision_id,decision_date,year,decision_clock,replay_segment_id,eligible_count,selected_count,oracle_count,selected_oracle_overlap_count,selected_oracle_overlap_share,selected_mean_h20_return,oracle_mean_h20_return,selection_gap_mean_h20_return,selected_median_opportunity_rank
14:45:20151208,2015-12-08,2015,14:45,2011_2020,620,30,30,0,0,-0.045810987058653822,0.26839318276111929,-0.31420416981977312,377
14:30:20151215,2015-12-15,2015,14:30,2011_2020,848,30,30,0,0,-0.19204079573387106,0.096250865011731093,-0.28829166074560214,387
14:45:20151215,2015-12-15,2015,14:45,2011_2020,849,30,30,0,0,-0.20003595331340454,0.098068378156857511,-0.29810433147026205,420
14:30:20151222,2015-12-22,2015,14:30,2011_2020,884,30,30,0,0,-0.2224281387969485,0.044170955673786962,-0.26659909447073549,322.5
14:45:20151222,2015-12-22,2015,14:45,2011_2020,883,30,30,0,0,-0.21640943209881833,0.038324213427673816,-0.25473364552649214,326.5
14:30:20151229,2015-12-29,2015,14:30,2011_2020,873,30,30,0,0,-0.2886373422201049,0.022742204619705827,-0.31137954683981073,425.5
14:45:20151229,2015-12-29,2015,14:45,2011_2020,872,30,30,0,0,-0.2874312557317143,0.014182767241985906,-0.30161402297370021,398
14:30:20160106,2016-01-06,2016,14:30,2011_2020,622,30,30,2,0.066666666666666666,-0.20474323981236092,0.005724978687701587,-0.2104682185000625,267
14:45:20160106,2016-01-06,2016,14:45,2011_2020,621,30,30,2,0.066666666666666666,-0.19870519263628639,0.010439782301298236,-0.20914497493758463,267
14:30:20160113,2016-01-13,2016,14:30,2011_2020,869,30,30,0,0,-0.013581272073738571,0.37883378706915766,-0.39241505914289621,501.5
14:45:20160113,2016-01-13,2016,14:45,2011_2020,869,30,30,0,0,0.00013982063555511754,0.39264187282354063,-0.39250205218798551,452
14:30:20160120,2016-01-20,2016,14:30,2011_2020,883,30,30,0,0,-0.012139964966947147,0.30074558813897456,-0.3128855531059217,525
14:45:20160120,2016-01-20,2016,14:45,2011_2020,880,30,30,0,0,-0.0092263024710255229,0.29942745299348766,-0.30865375546451318,515.5
14:30:20160127,2016-01-27,2016,14:30,2011_2020,867,30,30,1,0.033333333333333333,0.075730560196239111,0.3775420182264797,-0.30181145803024056,382
14:45:20160127,2016-01-27,2016,14:45,2011_2020,865,30,30,1,0.033333333333333333,0.06699548721569594,0.39258718976809343,-0.3255917025523975,476.5
14:30:20160203,2016-02-03,2016,14:30,2011_2020,636,30,30,3,0.10000000000000001,0.088099779906503847,0.25286272346847005,-0.16476294356196619,173.5
14:45:20160203,2016-02-03,2016,14:45,2011_2020,634,30,30,2,0.066666666666666666,0.064915015287980951,0.24370381418809792,-0.17878879890011695,218
14:30:20160217,2016-02-17,2016,14:30,2011_2020,868,30,30,1,0.033333333333333333,-0.0095869091478192302,0.19946681790715798,-0.20905372705497721,295
